movieId,title,tmdbId
1,Toy Story,1084244.0
2,Jumanji,8844.0
3,Grumpier Old Men,15602.0
4,Waiting to Exhale,31357.0
5,Father of the Bride Part II,11862.0
6,Heat,949.0
7,Sabrina,11860.0
8,Tom and Huck,45325.0
9,Sudden Death,9091.0
10,GoldenEye,710.0
11,"American President, The",9087.0
12,Dracula: Dead and Loving It,12110.0
13,Balto,21032.0
14,Nixon,10858.0
15,Cutthroat Island,1408.0
16,Casino,524.0
17,Sense and Sensibility,4584.0
18,Four Rooms,5.0
19,Ace Ventura: When Nature Calls,9273.0
20,Money Train,11517.0
21,Get Shorty,8012.0
22,Copycat,1710.0
23,Assassins,9691.0
24,Powder,12665.0
25,Leaving Las Vegas,451.0
26,Othello,1595531.0
27,Now and Then,9263.0
28,Persuasion,17015.0
29,"City of Lost Children, The (Cité des enfants perdus, La)",902.0
30,Shanghai Triad (Yao a yao yao dao waipo qiao),37557.0
31,Dangerous Minds,9909.0
32,Twelve Monkeys (a.k.a. 12 Monkeys),
34,Babe,9598.0
36,Dead Man Walking,687.0
38,It Takes Two,1306293.0
39,Clueless,9603.0
40,"Cry, the Beloved Country",34615.0
41,Richard III,383485.0
42,Dead Presidents,11443.0
43,Restoration,35196.0
44,Mortal Kombat,460465.0
45,To Die For,577.0
46,How to Make an American Quilt,11861.0
47,Seven (a.k.a. Se7en),
48,Pocahontas,10530.0
49,When Night Is Falling,8391.0
50,"Usual Suspects, The",629.0
52,Mighty Aphrodite,11448.0
53,Lamerica,49133.0
54,"Big Green, The",26441.0
55,Georgia,13159.0
57,Home for the Holidays,9089.0
58,"Postman, The (Postino, Il)",11010.0
60,"Indian in the Cupboard, The",11359.0
61,Eye for an Eye,1199869.0
62,Mr. Holland's Opus,2054.0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,10607.0
64,Two if by Sea,19760.0
65,Bio-Dome,9536.0
66,Lawnmower Man 2: Beyond Cyberspace,11525.0
68,French Twist (Gazon maudit),4482.0
69,Friday,1125257.0
70,From Dusk Till Dawn,755.0
71,Fair Game,38363.0
72,Kicking and Screaming,28387.0
73,"Misérables, Les",82695.0
74,Bed of Roses,20927.0
75,Big Bully,36929.0
76,Screamers,9102.0
77,Nico Icon,124626.0
78,"Crossing Guard, The",27526.0
79,"Juror, The",9623.0
80,"White Balloon, The (Badkonake sefid)",46785.0
81,Things to Do in Denver When You're Dead,400.0
82,Antonia's Line (Antonia),880.0
83,Once Upon a Time... When We Were Colored,146599.0
85,Angels and Insects,8447.0
86,White Squall,10534.0
87,Dunston Checks In,17414.0
88,Black Sheep,3603.0
89,Nick of Time,2086.0
92,Mary Reilly,9095.0
93,Vampire in Brooklyn,12158.0
94,Beautiful Girls,9283.0
95,Broken Arrow,9208.0
96,In the Bleak Midwinter,40154.0
97,"Hate (Haine, La)",374435.0
99,Heidi Fleiss: Hollywood Madam,63076.0
100,City Hall,11062.0
101,Bottle Rocket,13685.0
102,Mr. Wrong,47475.0
103,Unforgettable,418437.0
104,Happy Gilmore,9614.0
105,"Bridges of Madison County, The",688.0
106,Nobody Loves Me (Keiner liebt mich),11907.0
107,Muppet Treasure Island,10874.0
108,Catwalk,89333.0
110,Braveheart,197.0
111,Taxi Driver,103.0
